Match Id,Home Team,Away Team,Home Goal HT,Away Goal HT,Home Goal FT,Away Goal FT
497410,Man United,Fulham,0.0,0.0,1.0,0.0
497411,Ipswich Town,Liverpool,0.0,0.0,0.0,2.0
497412,Arsenal,Wolverhampton,1.0,0.0,2.0,0.0
497413,Everton,Brighton Hove,0.0,1.0,0.0,3.0
497414,Newcastle,Southampton,1.0,0.0,1.0,0.0
497415,Nottingham,Bournemouth,1.0,0.0,1.0,1.0
497416,West Ham,Aston Villa,1.0,1.0,1.0,2.0
497417,Brentford,Crystal Palace,1.0,0.0,2.0,1.0
497418,Chelsea,Man City,0.0,1.0,0.0,2.0
497419,Leicester City,Tottenham,0.0,1.0,1.0,1.0
497422,Brighton Hove,Man United,1.0,0.0,2.0,1.0
497423,Crystal Palace,West Ham,0.0,0.0,0.0,2.0
497424,Fulham,Leicester City,1.0,1.0,2.0,1.0
497426,Man City,Ipswich Town,3.0,1.0,4.0,1.0
497427,Southampton,Nottingham,0.0,0.0,0.0,1.0
497428,Tottenham,Everton,2.0,0.0,4.0,0.0
497421,Aston Villa,Arsenal,0.0,0.0,0.0,2.0
497420,Bournemouth,Newcastle,1.0,0.0,1.0,1.0
497429,Wolverhampton,Chelsea,2.0,2.0,2.0,6.0
497425,Liverpool,Brentford,1.0,0.0,2.0,0.0
497430,Arsenal,Brighton Hove,1.0,0.0,1.0,1.0
497431,Brentford,Southampton,1.0,0.0,3.0,1.0
497433,Everton,Bournemouth,0.0,0.0,2.0,3.0
497434,Ipswich Town,Fulham,1.0,1.0,1.0,1.0
497435,Leicester City,Aston Villa,0.0,1.0,1.0,2.0
497438,Nottingham,Wolverhampton,1.0,1.0,1.0,1.0
497439,West Ham,Man City,1.0,2.0,1.0,3.0
497432,Chelsea,Crystal Palace,1.0,0.0,1.0,1.0
497437,Newcastle,Tottenham,1.0,0.0,2.0,1.0
497436,Man United,Liverpool,0.0,2.0,0.0,3.0
497447,Southampton,Man United,0.0,2.0,0.0,3.0
